titulo,estatus,tiempo_de_publicado,publicado_por,denominacion,precio,metros_totales,recamaras,banos,Cantidad de pisos:,Asador:,Estacionamientos:,Con condominio cerrado:,Jardin:,Alberca:,Antiguedad:,ubicacion,descripcion,url
Residencia Con Alberca Techada 1 Sola Planta,Casa en Venta,Publicado hace 3 meses,Particular con identidad verificada,$,"2,799,999",600 m2 totales,2 recamaras,2 banos,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,Propiedad sin ubicación,"Residencia de 600 metros JardinUna sola planta 2 recamaras 2 banos completos Pasillo de cristal de la alberca a la casaAlberca techada de 20 metros de largo X 3 de ancho a 28-32 grados, con iluminacion interna para nadar a cualquier hora. Uso deportivo y familiar. 1.30 de profunidad Estacionamiento techado, para 6 autos Sistema solarPaga $56 mensuales de luz en general (incluido con calentador de alberca) 4 postes con lamparas led iluminando toda la calle AlarmaCamaras Todos los papeles en regla Edad - 5 anos",https://casa.mercadolibre.com.mx/MLM-2114208355-residencia-con-alberca-techada-1-sola-planta-_JM#position%3D1%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
"Preventa Casa En Privada, Col Magisterio, Tulancingo Hidalgo",Casa en Venta,Publicado hace 3 dias,Inmobiliaria con identidad verificada,$,"1,450,000",143 m2 totales,4 recamaras,2 banos,2,sin dato,2,sin dato,sin dato,sin dato,1 anos,"Magisterio, Tulancingo De Bravo, Hidalgo","CASA NUEVA EN MAGISTERIO 1, TULANCINGO, HGO.La privada consta de 40 casas, calles pavimentadas de concreto, servicios ocultos, porton automatico; la zona cuenta con escuelas, tiendas de conveniencia, farmacias, a 3 minutos de plaza patio Tulancingo, a 7 min del centro de Tulancingo, acceso rapido a la carretera federal Mexico-Tuxpan.La casa cuenta con:Planta baja:Cocina.Comedor.Sala.1/2 bano.Estudio o recamara.Patio de servicio.Cisterna 12 mil litrosEstacionamiento para 2 autos.Planta alta:Recamara principal con bano completo independiente2 recamaras secundariasBano completoPregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituracion, gastos administrativos e impuestos.Horario de atencion para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sabados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: 7757533901HAY UN LUGAR ESPERANDO SER TU HOGAR",https://casa.mercadolibre.com.mx/MLM-3315454612-preventa-casa-en-privada-col-magisterio-tulancingo-hidalgo-_JM#position%3D2%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
"Casa En Venta En Av. De Las Fuentes, La Morena, Tulancingo, Hidalgo - Recuperacion (ra)",Casa en Venta,Publicado hace 7 dias,Inmobiliaria con identidad verificada,$,"1,148,000",140 m2 totales,3 recamaras,2 banos,2,sin dato,0,sin dato,sin dato,sin dato,1 anos,"De Las Fuentes 1005, La Morena, Tulancingo De Bravo, Hidalgo","Aprovecha esta oportunidad y tomala... un gran beneficio te espera.Adquiere tu proxima propiedad con unos sencillos pasos:1.- Contactame para Asesorarte y explicarte con mas detalle el proceso 2.-Concreta una cita en nuestras Oficinas 3.-Adquiere tu Propiedad No esperes mas, ¡tu nueva Casa es una Realidad!Asesor Inmobiliario- Rodrigo Alegria",https://casa.mercadolibre.com.mx/MLM-3309363708-casa-en-venta-en-av-de-las-fuentes-la-morena-tulancingo-hidalgo-recuperacion-ra-_JM#position%3D3%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
"Casa En Venta En Tulancingo, Hidalgo",Casa en Venta,Publicado hace 4 dias,Inmobiliaria con identidad verificada,$,"1,148,000",140 m2 totales,3 recamaras,2 banos,1148000,sin dato,2,sin dato,sin dato,sin dato,24 anos,"De Las Fuentes, La Morena, Tulancingo De Bravo, Hidalgo","¡Oportunidad Única! ¿Buscas una propiedad a excelente precio? ¡Esta es tu oportunidad! Tenemos a la venta casa en recuperacion hipotecaria que podrias adquirir a un precio realmente atractivo.Es una oportunidad perfecta para quienes buscan una buena inversion o su nuevo hogar.*Se usan recursos propios, no se aceptan creditos hipotecarios.Si estas interesado o quieres mas informacion, no dudes en contactarnos.Contacto: Lic. Neyva MontesCel. 442 239 1830¡No dejes pasar esta oportunidad!",https://casa.mercadolibre.com.mx/MLM-2122172989-casa-en-venta-en-tulancingo-hidalgo-_JM#position%3D4%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
Casa Nueva De 3 Recamaras En San Isidro,Casa en Venta,Publicado hace 7 dias,Inmobiliaria con identidad verificada,$,"1,380,000",100 m2 totales,3 recamaras,2 banos,2,sin dato,1,sin dato,sin dato,sin dato,0 anos,"Tulancingo De Bravo, Hidalgo","La casa de dos nivelesubicada en San Isidro a solo 16 minutos del centro de Tulancingo y a 8 minutos del centro de Santiago Tulantepec. La colonia cuenta con servicios de luz, agua, drenaje, tiendas de primera necesidad,transporte publico.-Planta baja:Cocina concocinetaComedorSala1 recamara1 bano completoPatio de servicioCochera para1 auto-Planta alta:2 Recamaras amplias1 Bano completo-Amenidades:Cisterna de 5mil litros-Se entrega impermializadoPregunta por la forma de pagoDISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituracion, gastos administrativos e impuestos.Horario de atencion para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sabados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: 7757533901HAY UN LUGAR ESPERANDO SER TU HOGAR",https://casa.mercadolibre.com.mx/MLM-2119747627-casa-nueva-de-3-recamaras-en-san-isidro-_JM#position%3D5%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
"Casa En Preventa En Privada, Medias Tierras Tulancingo",Casa en Venta,Publicado hace 1 dia,Inmobiliaria con identidad verificada,$,"1,800,000",160 m2 totales,3 recamaras,2 banos,2,sin dato,2,sin dato,sin dato,sin dato,0 anos,"Medias Tierras, Tulancingo De Bravo, Hidalgo",El vendedor no incluyo una descripcion del inmueble.,https://casa.mercadolibre.com.mx/MLM-2124214605-casa-en-preventa-en-privada-medias-tierras-tulancingo-_JM#position%3D6%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
Casa Nueva En Cima Dorada. Bienvenidos Creditos Hipotecarios,Casa en Venta,Publicado hace 4 dias,Inmobiliaria con identidad verificada,$,"990,000",105 m2 totales,2 recamaras,1 bano,1,sin dato,1,sin dato,sin dato,sin dato,0 anos,"Cima Dorada, Tulancingo De Bravo, Hidalgo","El fraccionamiento Cima Dorada cuenta con 2 accesos con caseta de vigilancia, pista para caminatas, area de asadores, cancha de basquetbol y area de juegos para ninos.Ubicado a tan solo 5 minutos del centro de la cuidad,a un costado de la zona Arqueologica de Huapalcalco, muy cerca de clinicas medicas, hospitales, escuelas, establecimientos comerciales, central de autobuses, transporte publico a una cuadra.La casa esta distribuida en un nivel con:Sala.Comedor.Cocina1 Bano completo.2 Recamaras.Patio de servicio.Cochera para 1 vehiculos.Pregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituracion, gastos administrativos e impuestos.Horario de atencion para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sabados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: 7757533901HAY UN LUGAR ESPERANDO SER TU HOGAR",https://casa.mercadolibre.com.mx/MLM-2122232883-casa-nueva-en-cima-dorada-bienvenidos-creditos-hipotecarios-_JM#position%3D7%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
Promocion Precio Solo Pago De Contado,Casa en Venta,Publicado hace 3 dias,Inmobiliaria con identidad verificada,$,"690,000",92 m2 totales,2 recamaras,1 bano,1,sin dato,1,sin dato,sin dato,sin dato,0 anos,"Napateco, Tulancingo De Bravo, Hidalgo","Casaen venta en Napateco, Fraccionamiento Los Arcos.La colonia cuenta con todos los servicios, en la zona encontraras tiendas, establecimientos de comida, farmacias, Oxxo, gasolinera, espacios para realizar ejercicio al aire libre, parque para los pequenos de tu hogar, canchas para practicar algun deporte, guarderias, escuelas de nivel basico, universidad a solo 10 minutos de la colonia. El centro de Tulancingo esta a solo 15 minutos de Napateco, cuenta con transporte directo a la colonia.La casa de 1 nivel cuenta con:Sala-comedor.Cocina forrada de azulejo y opcion poner barra.1 bano completo forrado de azulejo.2 recamaras ampliasPatio de servicio con proteccion en techo.Cochera para un auto.Amenidades:Construccion tradicional.Cimentacion de piedra, para 2do nivel.Ladrillo.Losa maciza.Boiler instantaneo (ahorro un 40% de gas)Se encuentran en construccion, se entregan completamente terminadas.Forma de pago: Solo pagos de contado.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituracion, gastos administrativos e impuestos.Horario de atencion para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sabados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: 7757533901HAY UN LUGAR ESPERANDO SER TU HOGAR",https://casa.mercadolibre.com.mx/MLM-2122903169-promocion-precio-solo-pago-de-contado-_JM#position%3D8%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
"Preventa Casa En San Jose, Tulancingo Modelo Magnolia",Casa en Venta,Publicado hace 20 dias,Inmobiliaria con identidad verificada,$,"1,100,000",105 m2 totales,3 recamaras,2 banos,2,sin dato,1,sin dato,Si,sin dato,0 anos,"San Jose, Tulancingo De Bravo, Hidalgo","Preventa de casa en Bosques De San Francisco, por su ubicacion en la zona tienes acceso a la carretera federal Mexico-Tuxpan y Pachuca- Tulancingo, servicios de luz, agua, drenaje, internet, transporte publico, a solo 10 minutos del centro de Tulancingo. En 5 minutos llegas a Plaza Patio, donde encontrarastiendas departamentales, bancos de todas las instituciones, MEGA SORIANA, restaurantes, cine, agencias de viajes, Office Depot, etc.Acceso rapido a hospitales y clinicas privadas, hospital veterinario, escuelas publicas y privadas de nivel basico y media superior y a universidades cercanas.-Planta baja:SalaComedorCocina1/2 banoEstacionamiento para un autoPatiode servicio.-Planta alta:Recamara principal con bano completo2 recamaras1 Bano completo-Amenidades:Servicios de vigilanciaÁreas verdesPregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituracion, gastos administrativos e impuestos.Horario de atencion para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sabados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: 7757533901HAY UN LUGAR ESPERANDO SER TU HOGAR",https://casa.mercadolibre.com.mx/MLM-3281380338-preventa-casa-en-san-jose-tulancingo-modelo-magnolia-_JM#position%3D9%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
"Casa En Venta En Col. La Morena, Tulancingo, Hgo. Cymo",Casa en Venta,Publicado hace 20 dias,Inmobiliaria con identidad verificada,$,"1,148,000",140 m2 totales,3 recamaras,2 banos,2,No,1,No,No,No,15 anos,"De Las Fuentes, La Morena, Tulancingo De Bravo, Hidalgo","¡GRAN OPORTUNIDAD PARA TENER TU CASA PROPIA!Este inmueble es una excelente oportunidad de tener tu vivienda y negocio propio en un solo lugar. Adquiere esta propiedad de recuperacion hipotecaria a un excelente precio y con una inversion inicial de $290,000 pesos. Su ubicacion es ideal en la zona centro de Tulancingo en la Col. Morena, ya que esta cercana a vias de acceso, escuelas, comercios, parques, etc. Si te interesa este inmueble, contactame por este medio y a la brevedad me comunico contigo.Montserrat Hernandez - Asesora Inmobiliaria GACAVA.",https://casa.mercadolibre.com.mx/MLM-3281684678-casa-en-venta-en-col-la-morena-tulancingo-hgo-cymo-_JM#position%3D10%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
